genotype,treatment,replicate,total_seeds,day1_count,day2_count,day3_count,day4_count,day5_count,day6_count,day7_count
Mock-WT,Water,R1,25,0,18,23,24,24,24,24
Mock-WT,Water,R2,25,0,20,24,25,25,25,25
Mock-WT,Water,R3,25,0,17,22,23,24,24,24
Mock-WT,Salt,R1,25,0,0,1,2,2,2,2
Mock-WT,Salt,R2,25,0,0,0,1,1,1,1
Mock-WT,Salt,R3,25,0,0,0,0,0,0,0
Mock-Line-A,Water,R1,25,0,19,24,25,25,25,25
Mock-Line-A,Water,R2,25,0,18,23,24,24,24,24
Mock-Line-A,Water,R3,25,0,20,24,25,25,25,25
Mock-Line-A,Salt,R1,25,0,2,6,8,8,8,8
Mock-Line-A,Salt,R2,25,0,3,7,9,9,9,9
Mock-Line-A,Salt,R3,25,0,2,5,7,7,7,7
Mock-Line-B,Water,R1,25,0,16,22,23,24,24,24
Mock-Line-B,Water,R2,25,0,15,21,23,24,24,24
Mock-Line-B,Water,R3,25,0,14,20,22,23,23,23
Mock-Line-B,Salt,R1,25,0,1,3,4,4,4,4
Mock-Line-B,Salt,R2,25,0,1,4,5,5,5,5
Mock-Line-B,Salt,R3,25,0,1,3,4,4,4,4
