figure,panel,genotype,treatment,day,mean_germination_pct,sd_germination_pct,metric_value
Figure 1,a,Mock-WT,Water,7,97.3,2.3,
Figure 1,a,Mock-WT,Salt,7,4.0,4.0,
Figure 1,a,Mock-Line-A,Water,7,98.7,2.3,
Figure 1,a,Mock-Line-A,Salt,7,32.0,4.0,
Figure 1,a,Mock-Line-B,Water,7,94.7,2.3,
Figure 1,a,Mock-Line-B,Salt,7,17.3,2.3,
Figure 1,b,Mock-WT,Salt,1,0.0,0.0,
Figure 1,b,Mock-WT,Salt,2,0.0,0.0,
Figure 1,b,Mock-WT,Salt,3,1.3,2.3,
Figure 1,b,Mock-WT,Salt,4,4.0,4.0,
Figure 1,b,Mock-WT,Salt,5,4.0,4.0,
Figure 1,b,Mock-WT,Salt,6,4.0,4.0,
Figure 1,b,Mock-WT,Salt,7,4.0,4.0,
Figure 1,b,Mock-Line-A,Salt,1,0.0,0.0,
Figure 1,b,Mock-Line-A,Salt,2,9.3,2.3,
Figure 1,b,Mock-Line-A,Salt,3,24.0,4.0,
Figure 1,b,Mock-Line-A,Salt,4,32.0,4.0,
Figure 1,b,Mock-Line-A,Salt,5,32.0,4.0,
Figure 1,b,Mock-Line-A,Salt,6,32.0,4.0,
Figure 1,b,Mock-Line-A,Salt,7,32.0,4.0,
Figure 1,b,Mock-Line-B,Salt,1,0.0,0.0,
Figure 1,b,Mock-Line-B,Salt,2,4.0,0.0,
Figure 1,b,Mock-Line-B,Salt,3,13.3,2.3,
Figure 1,b,Mock-Line-B,Salt,4,17.3,2.3,
Figure 1,b,Mock-Line-B,Salt,5,17.3,2.3,
Figure 1,b,Mock-Line-B,Salt,6,17.3,2.3,
Figure 1,b,Mock-Line-B,Salt,7,17.3,2.3,
Figure 1,c,Mock-WT,Salt,7,,,4.1
Figure 1,c,Mock-Line-A,Salt,7,,,32.4
Figure 1,c,Mock-Line-B,Salt,7,,,18.3
