genotype,gene,replicate,salt_vs_control_fold_change,log2_fold_change
Wheat-A,TaHKT1;5,R1,4.077,2.028
Wheat-A,TaHKT1;5,R2,3.988,1.996
Wheat-A,TaHKT1;5,R3,3.845,1.943
Wheat-A,TaHKT1;5,R4,3.802,1.927
Wheat-A,TaHKT1;5,R5,3.807,1.929
Wheat-A,TaNHX1,R1,2.871,1.522
Wheat-A,TaNHX1,R2,2.835,1.503
Wheat-A,TaNHX1,R3,3.056,1.612
Wheat-A,TaNHX1,R4,2.991,1.581
Wheat-A,TaNHX1,R5,3.131,1.647
Wheat-A,TaSOS1,R1,2.477,1.309
Wheat-A,TaSOS1,R2,2.75,1.459
Wheat-A,TaSOS1,R3,2.833,1.502
Wheat-A,TaSOS1,R4,2.615,1.387
Wheat-A,TaSOS1,R5,2.527,1.337
Wheat-A,TaP5CS,R1,4.111,2.039
Wheat-A,TaP5CS,R2,4.455,2.155
Wheat-A,TaP5CS,R3,4.095,2.034
Wheat-A,TaP5CS,R4,4.23,2.081
Wheat-A,TaP5CS,R5,4.075,2.027
Wheat-A,TaSOD,R1,3.014,1.592
Wheat-A,TaSOD,R2,3.271,1.71
Wheat-A,TaSOD,R3,3.14,1.651
Wheat-A,TaSOD,R4,3.084,1.625
Wheat-A,TaSOD,R5,2.971,1.571
Wheat-A,TaCAT,R1,2.885,1.529
Wheat-A,TaCAT,R2,2.771,1.47
Wheat-A,TaCAT,R3,2.738,1.453
Wheat-A,TaCAT,R4,2.761,1.465
Wheat-A,TaCAT,R5,2.621,1.39
Wheat-A,TaDREB2,R1,3.325,1.733
Wheat-A,TaDREB2,R2,3.319,1.731
Wheat-A,TaDREB2,R3,3.475,1.797
Wheat-A,TaDREB2,R4,3.366,1.751
Wheat-A,TaDREB2,R5,3.528,1.819
Wheat-A,TaLEA,R1,3.579,1.839
Wheat-A,TaLEA,R2,3.53,1.82
Wheat-A,TaLEA,R3,3.568,1.835
Wheat-A,TaLEA,R4,3.6,1.848
Wheat-A,TaLEA,R5,3.417,1.773
Wheat-B,TaHKT1;5,R1,2.404,1.265
Wheat-B,TaHKT1;5,R2,2.52,1.333
Wheat-B,TaHKT1;5,R3,2.577,1.366
Wheat-B,TaHKT1;5,R4,2.721,1.444
Wheat-B,TaHKT1;5,R5,2.543,1.346
Wheat-B,TaNHX1,R1,2.05,1.036
Wheat-B,TaNHX1,R2,2.065,1.046
Wheat-B,TaNHX1,R3,2.066,1.047
Wheat-B,TaNHX1,R4,1.84,0.88
Wheat-B,TaNHX1,R5,2.017,1.012
Wheat-B,TaSOS1,R1,1.842,0.881
Wheat-B,TaSOS1,R2,1.795,0.844
Wheat-B,TaSOS1,R3,1.866,0.9
Wheat-B,TaSOS1,R4,1.945,0.959
Wheat-B,TaSOS1,R5,1.727,0.789
Wheat-B,TaP5CS,R1,3.121,1.642
Wheat-B,TaP5CS,R2,3.155,1.658
Wheat-B,TaP5CS,R3,3.179,1.669
Wheat-B,TaP5CS,R4,3.237,1.695
Wheat-B,TaP5CS,R5,2.958,1.565
Wheat-B,TaSOD,R1,2.369,1.244
Wheat-B,TaSOD,R2,2.408,1.268
Wheat-B,TaSOD,R3,2.368,1.244
Wheat-B,TaSOD,R4,2.394,1.26
Wheat-B,TaSOD,R5,2.681,1.423
Wheat-B,TaCAT,R1,2.168,1.116
Wheat-B,TaCAT,R2,2.175,1.121
Wheat-B,TaCAT,R3,2.284,1.192
Wheat-B,TaCAT,R4,2.117,1.082
Wheat-B,TaCAT,R5,2.457,1.297
Wheat-B,TaDREB2,R1,2.384,1.254
Wheat-B,TaDREB2,R2,2.659,1.411
Wheat-B,TaDREB2,R3,2.584,1.37
Wheat-B,TaDREB2,R4,2.441,1.287
Wheat-B,TaDREB2,R5,2.561,1.356
Wheat-B,TaLEA,R1,2.683,1.424
Wheat-B,TaLEA,R2,2.782,1.476
Wheat-B,TaLEA,R3,2.456,1.296
Wheat-B,TaLEA,R4,2.792,1.481
Wheat-B,TaLEA,R5,2.708,1.437
Wheat-C,TaHKT1;5,R1,1.751,0.808
Wheat-C,TaHKT1;5,R2,1.599,0.678
Wheat-C,TaHKT1;5,R3,1.71,0.774
Wheat-C,TaHKT1;5,R4,1.683,0.751
Wheat-C,TaHKT1;5,R5,1.649,0.722
Wheat-C,TaNHX1,R1,1.796,0.845
Wheat-C,TaNHX1,R2,1.771,0.825
Wheat-C,TaNHX1,R3,1.78,0.832
Wheat-C,TaNHX1,R4,1.734,0.794
Wheat-C,TaNHX1,R5,1.662,0.733
Wheat-C,TaSOS1,R1,1.716,0.779
Wheat-C,TaSOS1,R2,1.65,0.723
Wheat-C,TaSOS1,R3,1.573,0.654
Wheat-C,TaSOS1,R4,1.621,0.697
Wheat-C,TaSOS1,R5,1.413,0.499
Wheat-C,TaP5CS,R1,2.473,1.306
Wheat-C,TaP5CS,R2,2.634,1.397
Wheat-C,TaP5CS,R3,2.606,1.382
Wheat-C,TaP5CS,R4,2.581,1.368
Wheat-C,TaP5CS,R5,2.642,1.402
Wheat-C,TaSOD,R1,2.156,1.108
Wheat-C,TaSOD,R2,2.061,1.043
Wheat-C,TaSOD,R3,1.954,0.967
Wheat-C,TaSOD,R4,2.032,1.023
Wheat-C,TaSOD,R5,2.035,1.025
Wheat-C,TaCAT,R1,1.887,0.916
Wheat-C,TaCAT,R2,1.897,0.924
Wheat-C,TaCAT,R3,1.805,0.852
Wheat-C,TaCAT,R4,1.799,0.847
Wheat-C,TaCAT,R5,1.949,0.963
Wheat-C,TaDREB2,R1,2.359,1.238
Wheat-C,TaDREB2,R2,2.15,1.104
Wheat-C,TaDREB2,R3,2.096,1.068
Wheat-C,TaDREB2,R4,2.164,1.114
Wheat-C,TaDREB2,R5,2.161,1.112
Wheat-C,TaLEA,R1,2.047,1.034
Wheat-C,TaLEA,R2,2.178,1.123
Wheat-C,TaLEA,R3,2.165,1.114
Wheat-C,TaLEA,R4,2.251,1.171
Wheat-C,TaLEA,R5,2.154,1.107
Wheat-D,TaHKT1;5,R1,1.176,0.233
