genotype,treatment,replicate,total_seeds,day1_count,day2_count,day3_count,day4_count,day5_count,day6_count,day7_count
Wheat-A,Control,R1,50,10,26,37,43,45,47,47
Wheat-A,Control,R2,50,11,26,38,44,46,48,48
Wheat-A,Control,R3,50,11,27,39,45,47,49,49
Wheat-A,Control,R4,50,11,28,40,46,48,50,50
Wheat-A,Control,R5,50,11,28,40,46,48,50,50
Wheat-A,NaCl-150mM,R1,50,2,9,19,27,34,38,40
Wheat-A,NaCl-150mM,R2,50,2,9,20,28,34,39,41
Wheat-A,NaCl-150mM,R3,50,2,9,20,29,35,39,42
Wheat-A,NaCl-150mM,R4,50,2,9,21,29,36,40,43
Wheat-A,NaCl-150mM,R5,50,2,10,21,30,37,41,44
Wheat-B,Control,R1,50,10,25,36,42,44,46,46
Wheat-B,Control,R2,50,10,26,37,43,45,47,47
Wheat-B,Control,R3,50,11,26,38,44,46,48,48
Wheat-B,Control,R4,50,11,27,39,45,47,49,49
Wheat-B,Control,R5,50,11,28,40,46,48,50,50
Wheat-B,NaCl-150mM,R1,50,1,7,14,20,25,28,30
Wheat-B,NaCl-150mM,R2,50,1,7,15,21,26,29,31
Wheat-B,NaCl-150mM,R3,50,1,7,15,22,27,30,32
Wheat-B,NaCl-150mM,R4,50,1,7,16,22,28,31,33
Wheat-B,NaCl-150mM,R5,50,1,7,16,23,29,32,34
Wheat-C,Control,R1,50,10,25,36,41,43,45,45
Wheat-C,Control,R2,50,10,25,36,42,44,46,46
Wheat-C,Control,R3,50,10,26,37,43,45,47,47
Wheat-C,Control,R4,50,11,26,38,44,46,48,48
Wheat-C,Control,R5,50,11,27,39,45,47,49,49
Wheat-C,NaCl-150mM,R1,50,1,6,12,17,21,24,25
Wheat-C,NaCl-150mM,R2,50,1,6,12,18,22,24,26
Wheat-C,NaCl-150mM,R3,50,1,6,13,18,23,25,27
Wheat-C,NaCl-150mM,R4,50,1,6,13,19,24,26,28
Wheat-C,NaCl-150mM,R5,50,1,6,14,20,24,27,29
Wheat-D,Control,R1,50,10,24,35,40,42,44,44
Wheat-D,Control,R2,50,10,25,36,41,43,45,45
Wheat-D,Control,R3,50,10,25,36,42,44,46,46
Wheat-D,Control,R4,50,10,26,37,43,45,47,47
Wheat-D,Control,R5,50,11,26,38,44,46,48,48
Wheat-D,NaCl-150mM,R1,50,1,4,9,13,16,18,19
Wheat-D,NaCl-150mM,R2,50,1,4,10,14,17,19,20
Wheat-D,NaCl-150mM,R3,50,1,5,10,14,18,20,21
Wheat-D,NaCl-150mM,R4,50,1,5,11,15,18,21,22
Wheat-D,NaCl-150mM,R5,50,1,5,11,16,19,22,23
Wheat-E,Control,R1,50,10,25,36,42,44,46,46
Wheat-E,Control,R2,50,10,26,37,43,45,47,47
Wheat-E,Control,R3,50,11,26,38,44,46,48,48
Wheat-E,Control,R4,50,11,27,39,45,47,49,49
Wheat-E,Control,R5,50,11,28,40,46,48,50,50
Wheat-E,NaCl-150mM,R1,50,1,7,16,23,29,32,34
Wheat-E,NaCl-150mM,R2,50,1,8,17,24,29,33,35
Wheat-E,NaCl-150mM,R3,50,1,8,17,24,30,34,36
Wheat-E,NaCl-150mM,R4,50,1,8,18,25,31,35,37
Wheat-E,NaCl-150mM,R5,50,2,8,18,26,32,36,38
Wheat-F,Control,R1,50,10,25,36,42,44,46,46
Wheat-F,Control,R2,50,10,26,37,43,45,47,47
Wheat-F,Control,R3,50,11,26,38,44,46,48,48
Wheat-F,Control,R4,50,11,27,39,45,47,49,49
Wheat-F,Control,R5,50,11,28,40,46,48,50,50
Wheat-F,NaCl-150mM,R1,50,1,6,13,19,24,26,28
Wheat-F,NaCl-150mM,R2,50,1,6,14,20,24,27,29
Wheat-F,NaCl-150mM,R3,50,1,7,14,20,25,28,30
Wheat-F,NaCl-150mM,R4,50,1,7,15,21,26,29,31
Wheat-F,NaCl-150mM,R5,50,1,7,15,22,27,30,32
