genotype,treatment,replicate,root_length_cm,shoot_length_cm,relative_water_content_pct,k_na_ratio,mda_nmol_g_fw,proline_umol_g_fw,sod_u_mg_protein,cat_u_mg_protein
Wheat-A,Control,R1,8.488,6.699,95.742,2.217,6.296,1.509,113.316,36.791
Wheat-A,Control,R2,8.983,6.551,95.268,2.248,6.053,1.644,111.876,32.892
Wheat-A,Control,R3,9.363,6.271,96.185,2.329,6.855,1.518,116.473,35.746
Wheat-A,Control,R4,8.721,6.591,94.625,2.138,6.564,1.417,113.261,32.56
Wheat-A,Control,R5,8.844,6.389,95.366,2.363,5.934,1.454,107.226,33.338
Wheat-A,NaCl-150mM,R1,8.455,6.034,89.361,1.979,8.918,6.024,167.952,56.812
Wheat-A,NaCl-150mM,R2,8.352,6.12,88.781,1.888,8.657,5.796,168.527,56.011
Wheat-A,NaCl-150mM,R3,8.921,6.413,88.14,1.833,8.499,5.849,162.065,57.486
Wheat-A,NaCl-150mM,R4,8.404,6.045,89.511,1.875,9.157,6.126,162.939,54.111
Wheat-A,NaCl-150mM,R5,8.325,6.09,90.865,1.834,9.723,5.995,161.513,56.824
Wheat-B,Control,R1,8.804,6.508,96.721,2.295,6.204,1.668,114.014,31.704
Wheat-B,Control,R2,9.013,6.497,95.516,2.16,6.41,1.613,106.795,32.377
Wheat-B,Control,R3,8.788,6.442,95.722,2.263,6.603,1.655,112.219,34.438
Wheat-B,Control,R4,8.754,6.543,95.695,2.263,6.173,1.732,107.868,33.299
Wheat-B,Control,R5,8.898,6.463,95.233,2.299,6.393,1.412,109.931,36.06
Wheat-B,NaCl-150mM,R1,6.608,4.915,76.168,1.145,13.064,3.926,131.943,44.352
Wheat-B,NaCl-150mM,R2,6.649,4.932,78.535,1.245,12.648,4.288,135.042,44.341
Wheat-B,NaCl-150mM,R3,6.797,4.488,78.98,1.141,11.829,4.006,138.351,41.396
Wheat-B,NaCl-150mM,R4,6.774,5.124,76.874,1.209,12.723,4.366,130.704,41.426
Wheat-B,NaCl-150mM,R5,6.688,4.797,78.488,1.163,12.851,4.404,134.982,39.753
Wheat-C,Control,R1,8.962,6.462,95.726,2.235,6.544,1.695,107.679,32.81
Wheat-C,Control,R2,9.019,6.491,95.71,2.389,6.315,1.461,105.918,34.851
Wheat-C,Control,R3,8.761,6.748,96.263,2.292,6.647,1.727,113.492,33.61
Wheat-C,Control,R4,8.92,6.556,96.678,2.181,6.796,1.624,119.651,33.536
