panel,site,region,country,lat,lon,accessions,salinity_index,genotype,treatment,day,germination_mean_pct,germination_sd_pct,n_biological_replicates,day7_germination_mean_pct,day7_germination_sd_pct,retention_pct,vigor_index,integrated_score
a-b,Shandong winter-wheat plain,North China,China,36.7,118.5,42,0.78,,,,,,,,,,,
a-b,Henan alluvial plain,North China,China,34.8,113.6,55,0.72,,,,,,,,,,,
a-b,Hebei coastal plain,North China,China,38.0,115.5,38,0.81,,,,,,,,,,,
a-b,Jiangsu lower Yangtze,Yangtze Basin,China,32.0,119.0,28,0.57,,,,,,,,,,,
a-b,Anhui wheat belt,Yangtze Basin,China,33.2,116.7,33,0.61,,,,,,,,,,,
a-b,Sichuan basin margin,Southwest China,China,30.7,104.1,24,0.49,,,,,,,,,,,
a-b,Gansu corridor,Northwest China,China,38.6,102.2,31,0.68,,,,,,,,,,,
a-b,Xinjiang oasis,Northwest China,China,43.8,87.6,46,0.84,,,,,,,,,,,
a-b,Punjab irrigated plain,International,Pakistan,31.5,74.3,29,0.76,,,,,,,,,,,
a-b,Indo-Gangetic plain,International,India,28.6,77.2,35,0.73,,,,,,,,,,,
a-b,Central Anatolia,International,Turkey,39.0,35.0,22,0.62,,,,,,,,,,,
a-b,Australian wheatbelt,International,Australia,-31.9,116.0,26,0.7,,,,,,,,,,,
a-b,Kansas wheat belt,International,United States,38.5,-98.0,18,0.55,,,,,,,,,,,
a-b,La Plata wheat region,International,Argentina,-35.0,-61.0,16,0.52,,,,,,,,,,,
c,,,,,,,,Wheat-A,Control,1,21.6,0.89,5,,,,,
c,,,,,,,,Wheat-A,Control,2,54.0,2.0,5,,,,,
c,,,,,,,,Wheat-A,Control,3,77.6,2.61,5,,,,,
c,,,,,,,,Wheat-A,Control,4,89.6,2.61,5,,,,,
c,,,,,,,,Wheat-A,Control,5,93.6,2.61,5,,,,,
c,,,,,,,,Wheat-A,Control,6,97.6,2.61,5,,,,,
c,,,,,,,,Wheat-A,Control,7,97.6,2.61,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,1,4.0,0.0,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,2,18.4,0.89,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,3,40.4,1.67,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,4,57.2,2.28,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,5,70.4,2.61,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,6,78.8,2.28,5,,,,,
c,,,,,,,,Wheat-A,NaCl-150mM,7,84.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,Control,1,21.2,1.1,5,,,,,
c,,,,,,,,Wheat-B,Control,2,52.8,2.28,5,,,,,
c,,,,,,,,Wheat-B,Control,3,76.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,Control,4,88.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,Control,5,92.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,Control,6,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,Control,7,96.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,1,2.0,0.0,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,2,14.0,0.0,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,3,30.4,1.67,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,4,43.2,2.28,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,5,54.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,6,60.0,3.16,5,,,,,
c,,,,,,,,Wheat-B,NaCl-150mM,7,64.0,3.16,5,,,,,
c,,,,,,,,Wheat-C,Control,1,20.8,1.1,5,,,,,
c,,,,,,,,Wheat-C,Control,2,51.6,1.67,5,,,,,
c,,,,,,,,Wheat-C,Control,3,74.4,2.61,5,,,,,
c,,,,,,,,Wheat-C,Control,4,86.0,3.16,5,,,,,
c,,,,,,,,Wheat-C,Control,5,90.0,3.16,5,,,,,
c,,,,,,,,Wheat-C,Control,6,94.0,3.16,5,,,,,
c,,,,,,,,Wheat-C,Control,7,94.0,3.16,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,1,2.0,0.0,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,2,12.0,0.0,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,3,25.6,1.67,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,4,36.8,2.28,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,5,45.6,2.61,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,6,50.4,2.61,5,,,,,
c,,,,,,,,Wheat-C,NaCl-150mM,7,54.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,Control,1,20.4,0.89,5,,,,,
c,,,,,,,,Wheat-D,Control,2,50.4,1.67,5,,,,,
c,,,,,,,,Wheat-D,Control,3,72.8,2.28,5,,,,,
c,,,,,,,,Wheat-D,Control,4,84.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,Control,5,88.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,Control,6,92.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,Control,7,92.0,3.16,5,,,,,
c,,,,,,,,Wheat-D,NaCl-150mM,1,2.0,0.0,5,,,,,
