genotype,gene,log2_fold_change_mean,log2_fold_change_sd,n_biological_replicates,germination_score,physiology_score,transcript_score,integrated_score
Wheat-A,TaCAT,1.461,0.05,5,,,,
Wheat-A,TaDREB2,1.766,0.04,5,,,,
Wheat-A,TaHKT1;5,1.965,0.045,5,,,,
Wheat-A,TaLEA,1.823,0.03,5,,,,
Wheat-A,TaNHX1,1.573,0.06,5,,,,
Wheat-A,TaP5CS,2.067,0.053,5,,,,
Wheat-A,TaSOD,1.63,0.054,5,,,,
Wheat-A,TaSOS1,1.399,0.081,5,,,,
Wheat-B,TaCAT,1.162,0.086,5,,,,
Wheat-B,TaDREB2,1.336,0.064,5,,,,
Wheat-B,TaHKT1;5,1.351,0.064,5,,,,
Wheat-B,TaLEA,1.423,0.075,5,,,,
Wheat-B,TaNHX1,1.004,0.071,5,,,,
Wheat-B,TaP5CS,1.646,0.049,5,,,,
Wheat-B,TaSOD,1.288,0.076,5,,,,
Wheat-B,TaSOS1,0.875,0.063,5,,,,
Wheat-C,TaCAT,0.9,0.05,5,,,,
Wheat-C,TaDREB2,1.127,0.065,5,,,,
Wheat-C,TaHKT1;5,0.747,0.05,5,,,,
Wheat-C,TaLEA,1.11,0.049,5,,,,
Wheat-C,TaNHX1,0.806,0.045,5,,,,
Wheat-C,TaP5CS,1.371,0.039,5,,,,
Wheat-C,TaSOD,1.033,0.051,5,,,,
Wheat-C,TaSOS1,0.67,0.106,5,,,,
Wheat-D,TaCAT,0.338,0.081,5,,,,
Wheat-D,TaDREB2,0.719,0.119,5,,,,
Wheat-D,TaHKT1;5,0.12,0.142,5,,,,
Wheat-D,TaLEA,0.687,0.083,5,,,,
Wheat-D,TaNHX1,0.39,0.088,5,,,,
Wheat-D,TaP5CS,0.939,0.034,5,,,,
Wheat-D,TaSOD,0.563,0.087,5,,,,
Wheat-D,TaSOS1,0.183,0.082,5,,,,
Wheat-E,TaCAT,1.346,0.049,5,,,,
Wheat-E,TaDREB2,1.553,0.042,5,,,,
Wheat-E,TaHKT1;5,1.544,0.023,5,,,,
Wheat-E,TaLEA,1.598,0.029,5,,,,
Wheat-E,TaNHX1,1.333,0.087,5,,,,
Wheat-E,TaP5CS,1.863,0.032,5,,,,
Wheat-E,TaSOD,1.488,0.05,5,,,,
Wheat-E,TaSOS1,1.147,0.091,5,,,,
Wheat-F,TaCAT,0.999,0.096,5,,,,
Wheat-F,TaDREB2,1.29,0.086,5,,,,
Wheat-F,TaHKT1;5,1.095,0.097,5,,,,
Wheat-F,TaLEA,1.382,0.04,5,,,,
Wheat-F,TaNHX1,0.886,0.067,5,,,,
Wheat-F,TaP5CS,1.567,0.037,5,,,,
Wheat-F,TaSOD,1.223,0.066,5,,,,
Wheat-F,TaSOS1,0.876,0.081,5,,,,
Wheat-A,,,,,100.0,100.0,100.0,100.0
Wheat-B,,,,,51.999,51.842,63.046,54.153
Wheat-C,,,,,29.185,28.211,39.249,30.857
Wheat-D,,,,,0.0,0.0,0.0,0.0
Wheat-E,,,,,72.619,73.602,81.412,74.722
Wheat-F,,,,,41.689,40.137,55.185,43.845
